date,favorite,underdog,spread,fav_odds,dog_odds,fav_implied_prob,dog_implied_prob,model_fav_probability,model_dog_probability,fav_predictive_edge,dog_predictive_edge,best_edge,best_side,predicted_cover,actual_cover,correct_prediction,model_type
2025-10-26,San Antonio,Brooklyn,10.5,-111,105,0.5260663507109005,0.4878048780487805,0.0,1.0,-0.5260663507109005,0.5121951219512195,0.5121951219512195,underdog,0,0.0,1,Away Favorite
2025-10-26,Detroit,Boston,3.5,-104,-103,0.5098039215686274,0.5073891625615764,0.5384615384615384,0.46153846153846156,0.02865761689291102,-0.04585070102311484,0.02865761689291102,favorite,1,1.0,1,Home Favorite
2025-10-26,Cleveland,Milwaukee,6.5,-105,-101,0.5121951219512195,0.5024875621890548,0.782608695652174,0.21739130434782605,0.2704135737009544,-0.2850962578412287,0.2704135737009544,favorite,1,0.0,0,Home Favorite
2025-10-26,New York,Miami,2.5,-110,-110,0.5238095238095238,0.5238095238095238,0.8809523809523809,0.11904761904761907,0.3571428571428571,-0.40476190476190477,0.3571428571428571,favorite,1,0.0,0,Away Favorite
2025-10-26,Washington,Charlotte,2.5,101,-111,0.4975124378109453,0.5260663507109005,0.782608695652174,0.21739130434782605,0.28509625784122866,-0.3086750463630744,0.28509625784122866,favorite,1,0.0,0,Home Favorite
2025-10-26,Minnesota,Indiana,12.5,102,-105,0.49504950495049505,0.5121951219512195,0.3142857142857143,0.6857142857142857,-0.18076379066478077,0.1735191637630662,0.1735191637630662,underdog,0,0.0,1,Home Favorite
2025-10-26,Dallas,Toronto,1.5,-110,-110,0.5238095238095238,0.5238095238095238,0.782608695652174,0.21739130434782605,0.2587991718426501,-0.3064182194616978,0.2587991718426501,favorite,1,1.0,1,Home Favorite
2025-10-26,La Clippers,Portland,8.5,-110,-110,0.5238095238095238,0.5238095238095238,0.0,1.0,-0.5238095238095238,0.47619047619047616,0.47619047619047616,underdog,0,0.0,1,Home Favorite
2025-10-26,La Lakers,Sacramento,2.5,-111,107,0.5260663507109005,0.4830917874396135,0.10810810810810811,0.8918918918918919,-0.41795824260279235,0.4088001044522784,0.4088001044522784,underdog,0,1.0,0,Away Favorite
2025-10-27,Cleveland,Detroit,2.5,100,-102,0.5,0.504950495049505,0.2727272727272727,0.7272727272727273,-0.2272727272727273,0.22232223222322234,0.22232223222322234,underdog,0,1.0,0,Away Favorite
