date,game_id,home_team,away_team,favorite,underdog,spread,fav_votes,dog_votes,ensemble_pick_side,ensemble_pick_team,ensemble_correct
2025-11-03,2025-11-03_Minnesota_Brooklyn,Brooklyn,Minnesota,Minnesota,Brooklyn,8.5,3,1,FAVORITE,Minnesota,1
2025-11-03,2025-11-03_NewYork_Washington,New York,Washington,New York,Washington,12.5,0,4,UNDERDOG,Washington,0
2025-11-04,2025-11-04_Chicago_Philadelphia,Chicago,Philadelphia,Chicago,Philadelphia,1.5,0,4,UNDERDOG,Philadelphia,0
2025-11-04,2025-11-04_GoldenState_Phoenix,Phoenix,Golden State,Golden State,Phoenix,10.5,0,4,UNDERDOG,Phoenix,1
2025-11-04,2025-11-04_NewOrleans_Charlotte,New Orleans,Charlotte,New Orleans,Charlotte,2.5,0,4,UNDERDOG,Charlotte,0
2025-11-04,2025-11-04_Orlando_Atlanta,Atlanta,Orlando,Orlando,Atlanta,3.5,3,1,FAVORITE,Orlando,0
2025-11-04,2025-11-04_Toronto_Milwaukee,Toronto,Milwaukee,Toronto,Milwaukee,3.5,1,3,UNDERDOG,Milwaukee,0
2025-11-05,2025-11-05_Boston_Washington,Boston,Washington,Boston,Washington,12.5,0,4,UNDERDOG,Washington,0
2025-11-05,2025-11-05_Dallas_NewOrleans,Dallas,New Orleans,Dallas,New Orleans,7.5,3,1,FAVORITE,Dallas,0
2025-11-05,2025-11-05_Denver_Miami,Denver,Miami,Denver,Miami,9.5,4,0,FAVORITE,Denver,1
2025-11-05,2025-11-05_Detroit_Utah,Detroit,Utah,Detroit,Utah,9.5,0,4,UNDERDOG,Utah,0
2025-11-05,2025-11-05_Houston_Memphis,Memphis,Houston,Houston,Memphis,7.5,4,0,FAVORITE,Houston,1
2025-11-05,2025-11-05_Indiana_Brooklyn,Indiana,Brooklyn,Indiana,Brooklyn,6.5,3,1,FAVORITE,Indiana,0
2025-11-05,2025-11-05_LaLakers_SanAntonio,San Antonio,La Lakers,La Lakers,San Antonio,2.5,1,3,UNDERDOG,San Antonio,1
2025-11-05,2025-11-05_NewYork_Minnesota,New York,Minnesota,New York,Minnesota,4.5,0,3,UNDERDOG,Minnesota,0
2025-11-05,2025-11-05_OklaCity_Portland,Portland,Okla City,Okla City,Portland,4.5,3,1,FAVORITE,Okla City,0
2025-11-05,2025-11-05_Sacramento_GoldenState,Sacramento,Golden State,Sacramento,Golden State,2.5,0,4,UNDERDOG,Golden State,0
2025-11-06,2025-11-06_Phoenix_LaClippers,La Clippers,Phoenix,Phoenix,La Clippers,2.5,0,4,UNDERDOG,La Clippers,1
2025-11-07,2025-11-07_Atlanta_Toronto,Atlanta,Toronto,Atlanta,Toronto,2.5,0,4,UNDERDOG,Toronto,1
2025-11-07,2025-11-07_Cleveland_Washington,Washington,Cleveland,Cleveland,Washington,13.5,0,4,UNDERDOG,Washington,0
2025-11-07,2025-11-07_Denver_GoldenState,Denver,Golden State,Denver,Golden State,10.5,4,0,FAVORITE,Denver,1
2025-11-07,2025-11-07_Detroit_Brooklyn,Brooklyn,Detroit,Detroit,Brooklyn,10.5,0,4,UNDERDOG,Brooklyn,0
2025-11-07,2025-11-07_Houston_SanAntonio,San Antonio,Houston,Houston,San Antonio,4.5,3,1,FAVORITE,Houston,0
2025-11-07,2025-11-07_Memphis_Dallas,Memphis,Dallas,Memphis,Dallas,4.5,0,4,UNDERDOG,Dallas,0
2025-11-07,2025-11-07_Miami_Charlotte,Miami,Charlotte,Miami,Charlotte,4.5,4,0,FAVORITE,Miami,1
2025-11-07,2025-11-07_Milwaukee_Chicago,Milwaukee,Chicago,Milwaukee,Chicago,4.5,4,0,FAVORITE,Milwaukee,1
2025-11-07,2025-11-07_Minnesota_Utah,Minnesota,Utah,Minnesota,Utah,11.5,0,4,UNDERDOG,Utah,0
2025-11-07,2025-11-07_OklaCity_Sacramento,Sacramento,Okla City,Okla City,Sacramento,10.5,3,1,FAVORITE,Okla City,1
2025-11-07,2025-11-07_Orlando_Boston,Orlando,Boston,Orlando,Boston,3.5,0,4,UNDERDOG,Boston,0
2025-11-08,2025-11-08_Cleveland_Chicago,Cleveland,Chicago,Cleveland,Chicago,8.5,4,0,FAVORITE,Cleveland,0
2025-11-08,2025-11-08_Dallas_Washington,Washington,Dallas,Dallas,Washington,4.5,1,3,UNDERDOG,Washington,0
2025-11-08,2025-11-08_Denver_Indiana,Denver,Indiana,Denver,Indiana,12.5,4,0,FAVORITE,Denver,1
2025-11-08,2025-11-08_LaClippers_Phoenix,Phoenix,La Clippers,La Clippers,Phoenix,5.5,0,4,UNDERDOG,Phoenix,0
2025-11-08,2025-11-08_LaLakers_Atlanta,Atlanta,La Lakers,La Lakers,Atlanta,3.5,1,3,UNDERDOG,Atlanta,1
2025-11-08,2025-11-08_Philadelphia_Toronto,Philadelphia,Toronto,Philadelphia,Toronto,5.5,0,3,UNDERDOG,Toronto,0
2025-11-08,2025-11-08_Portland_Miami,Miami,Portland,Portland,Miami,3.5,0,4,UNDERDOG,Miami,1
2025-11-08,2025-11-08_SanAntonio_NewOrleans,San Antonio,New Orleans,San Antonio,New Orleans,10.5,4,0,FAVORITE,San Antonio,0
2025-11-09,2025-11-09_Detroit_Philadelphia,Philadelphia,Detroit,Detroit,Philadelphia,4.5,1,2,UNDERDOG,Philadelphia,1
2025-11-09,2025-11-09_GoldenState_Indiana,Indiana,Golden State,Golden State,Indiana,12.5,0,4,UNDERDOG,Indiana,1
2025-11-09,2025-11-09_Houston_Milwaukee,Milwaukee,Houston,Houston,Milwaukee,4.5,4,0,FAVORITE,Houston,1
2025-11-09,2025-11-09_Minnesota_Sacramento,Sacramento,Minnesota,Minnesota,Sacramento,5.5,3,1,FAVORITE,Minnesota,1
2025-11-09,2025-11-09_NewYork_Brooklyn,New York,Brooklyn,New York,Brooklyn,15.5,4,0,FAVORITE,New York,1
2025-11-09,2025-11-09_OklaCity_Memphis,Memphis,Okla City,Okla City,Memphis,10.5,4,0,FAVORITE,Okla City,1
2025-11-09,2025-11-09_Orlando_Boston,Orlando,Boston,Orlando,Boston,3.5,0,4,UNDERDOG,Boston,1
2025-11-10,2025-11-10_Cleveland_Miami,Miami,Cleveland,Cleveland,Miami,7.5,0,4,UNDERDOG,Miami,1
2025-11-10,2025-11-10_Detroit_Washington,Detroit,Washington,Detroit,Washington,11.5,0,4,UNDERDOG,Washington,1
2025-11-10,2025-11-10_LaClippers_Atlanta,Atlanta,La Clippers,La Clippers,Atlanta,4.5,0,4,UNDERDOG,Atlanta,1
2025-11-10,2025-11-10_LaLakers_Charlotte,Charlotte,La Lakers,La Lakers,Charlotte,8.5,4,0,FAVORITE,La Lakers,1
2025-11-10,2025-11-10_Milwaukee_Dallas,Dallas,Milwaukee,Milwaukee,Dallas,2.5,0,4,UNDERDOG,Dallas,1
2025-11-10,2025-11-10_Minnesota_Utah,Utah,Minnesota,Minnesota,Utah,7.5,2,0,FAVORITE,Minnesota,0
2025-11-10,2025-11-10_Orlando_Portland,Orlando,Portland,Orlando,Portland,2.5,4,0,FAVORITE,Orlando,1
2025-11-10,2025-11-10_SanAntonio_Chicago,Chicago,San Antonio,San Antonio,Chicago,4.5,1,3,UNDERDOG,Chicago,1
2025-11-11,2025-11-11_Denver_Sacramento,Sacramento,Denver,Denver,Sacramento,8.5,4,0,FAVORITE,Denver,1
2025-11-11,2025-11-11_Indiana_Utah,Utah,Indiana,Indiana,Utah,2.5,0,4,UNDERDOG,Utah,1
2025-11-11,2025-11-11_NewYork_Memphis,New York,Memphis,New York,Memphis,9.5,3,0,FAVORITE,New York,1
2025-11-11,2025-11-11_OklaCity_GoldenState,Golden State,Okla City,Okla City,Golden State,7.5,1,2,UNDERDOG,Golden State,1
2025-11-11,2025-11-11_Philadelphia_Boston,Philadelphia,Boston,Philadelphia,Boston,1.5,4,0,FAVORITE,Philadelphia,1
2025-11-11,2025-11-11_Toronto_Brooklyn,Brooklyn,Toronto,Toronto,Brooklyn,10.5,4,0,FAVORITE,Toronto,0
2025-11-12,2025-11-12_Atlanta_Sacramento,Sacramento,Atlanta,Atlanta,Sacramento,3.5,4,0,FAVORITE,Atlanta,1
2025-11-12,2025-11-12_Boston_Memphis,Boston,Memphis,Boston,Memphis,6.5,1,2,UNDERDOG,Memphis,0
2025-11-12,2025-11-12_Dallas_Phoenix,Phoenix,Dallas,Dallas,Phoenix,1.5,0,4,UNDERDOG,Phoenix,0
2025-11-12,2025-11-12_Denver_LaClippers,La Clippers,Denver,Denver,La Clippers,3.5,0,4,UNDERDOG,La Clippers,0
2025-11-12,2025-11-12_Detroit_Chicago,Chicago,Detroit,Detroit,Chicago,1.5,4,0,FAVORITE,Detroit,0
2025-11-12,2025-11-12_Houston_Washington,Houston,Washington,Houston,Washington,16.5,3,0,FAVORITE,Houston,1
2025-11-12,2025-11-12_Miami_Cleveland,Miami,Cleveland,Miami,Cleveland,5.5,3,1,FAVORITE,Miami,0
2025-11-12,2025-11-12_Milwaukee_Charlotte,Charlotte,Milwaukee,Milwaukee,Charlotte,4.5,4,0,FAVORITE,Milwaukee,0
2025-11-12,2025-11-12_OklaCity_LaLakers,La Lakers,Okla City,Okla City,La Lakers,6.5,0,4,UNDERDOG,La Lakers,1
2025-11-12,2025-11-12_SanAntonio_GoldenState,Golden State,San Antonio,San Antonio,Golden State,4.5,0,4,UNDERDOG,Golden State,0
2025-11-14,2025-11-14_Houston_Portland,Houston,Portland,Houston,Portland,7.5,4,0,FAVORITE,Houston,1
2025-11-14,2025-11-14_LaClippers_Dallas,Dallas,La Clippers,La Clippers,Dallas,2.5,0,4,UNDERDOG,Dallas,0
2025-11-14,2025-11-14_LaLakers_NewOrleans,New Orleans,La Lakers,La Lakers,New Orleans,9.5,0,4,UNDERDOG,New Orleans,0
2025-11-14,2025-11-14_Milwaukee_Charlotte,Milwaukee,Charlotte,Milwaukee,Charlotte,9.5,0,4,UNDERDOG,Charlotte,0
2025-11-14,2025-11-14_Minnesota_Sacramento,Minnesota,Sacramento,Minnesota,Sacramento,11.5,1,2,UNDERDOG,Sacramento,0
2025-11-14,2025-11-14_NewYork_Miami,New York,Miami,New York,Miami,6.5,4,0,FAVORITE,New York,1
2025-11-14,2025-11-14_SanAntonio_GoldenState,Golden State,San Antonio,San Antonio,Golden State,2.5,0,4,UNDERDOG,Golden State,1
2025-11-15,2025-11-15_Minnesota_Denver,Minnesota,Denver,Minnesota,Denver,2.5,0,3,UNDERDOG,Denver,1
2025-11-15,2025-11-15_OklaCity_Charlotte,Charlotte,Okla City,Okla City,Charlotte,15.5,1,3,UNDERDOG,Charlotte,1
2025-11-15,2025-11-15_Toronto_Indiana,Indiana,Toronto,Toronto,Indiana,6.5,3,1,FAVORITE,Toronto,1
2025-11-16,2025-11-16_Atlanta_Phoenix,Phoenix,Atlanta,Atlanta,Phoenix,1.5,0,4,UNDERDOG,Phoenix,0
2025-11-16,2025-11-16_Chicago_Utah,Utah,Chicago,Chicago,Utah,4.5,3,1,FAVORITE,Chicago,0
2025-11-16,2025-11-16_GoldenState_NewOrleans,New Orleans,Golden State,Golden State,New Orleans,10.5,3,0,FAVORITE,Golden State,1
2025-11-16,2025-11-16_Houston_Orlando,Houston,Orlando,Houston,Orlando,7.5,4,0,FAVORITE,Houston,0
2025-11-16,2025-11-16_SanAntonio_Sacramento,Sacramento,San Antonio,San Antonio,Sacramento,8.5,3,1,FAVORITE,San Antonio,0
2025-11-16,2025-11-16_Washington_Brooklyn,Washington,Brooklyn,Washington,Brooklyn,2.5,4,0,FAVORITE,Washington,0
2025-11-17,2025-11-17_Cleveland_Milwaukee,Cleveland,Milwaukee,Cleveland,Milwaukee,7.5,3,1,FAVORITE,Cleveland,1
2025-11-17,2025-11-17_Denver_Chicago,Denver,Chicago,Denver,Chicago,14.5,3,1,FAVORITE,Denver,0
2025-11-17,2025-11-17_Detroit_Indiana,Detroit,Indiana,Detroit,Indiana,11.5,3,0,FAVORITE,Detroit,1
2025-11-17,2025-11-17_Miami_NewYork,Miami,New York,Miami,New York,1.5,4,0,FAVORITE,Miami,1
2025-11-17,2025-11-17_OklaCity_NewOrleans,New Orleans,Okla City,Okla City,New Orleans,17.5,3,0,FAVORITE,Okla City,0
2025-11-17,2025-11-17_Toronto_Charlotte,Toronto,Charlotte,Toronto,Charlotte,8.5,3,1,FAVORITE,Toronto,0
2025-11-18,2025-11-18_Boston_Brooklyn,Brooklyn,Boston,Boston,Brooklyn,10.5,4,0,FAVORITE,Boston,1
2025-11-18,2025-11-18_Detroit_Atlanta,Atlanta,Detroit,Detroit,Atlanta,1.5,0,4,UNDERDOG,Atlanta,0
2025-11-18,2025-11-18_GoldenState_Orlando,Orlando,Golden State,Golden State,Orlando,3.5,1,3,UNDERDOG,Orlando,1
2025-11-18,2025-11-18_LaLakers_Utah,La Lakers,Utah,La Lakers,Utah,12.5,4,0,FAVORITE,La Lakers,1
2025-11-18,2025-11-18_Portland_Phoenix,Portland,Phoenix,Portland,Phoenix,2.5,4,0,FAVORITE,Portland,0
2025-11-18,2025-11-18_SanAntonio_Memphis,Memphis,San Antonio,San Antonio,Memphis,6.5,0,4,UNDERDOG,Memphis,1
2025-11-20,2025-11-20_Memphis_Sacramento,Memphis,Sacramento,Memphis,Sacramento,2.5,0,4,UNDERDOG,Sacramento,0
2025-11-20,2025-11-20_Orlando_LaClippers,Orlando,La Clippers,Orlando,La Clippers,5.5,1,3,UNDERDOG,La Clippers,0
2025-11-20,2025-11-20_Philadelphia_Milwaukee,Milwaukee,Philadelphia,Philadelphia,Milwaukee,2.5,0,4,UNDERDOG,Milwaukee,0
2025-11-20,2025-11-20_SanAntonio_Atlanta,Atlanta,San Antonio,San Antonio,Atlanta,1.5,0,4,UNDERDOG,Atlanta,1
2025-11-21,2025-11-21_Boston_Brooklyn,Boston,Brooklyn,Boston,Brooklyn,14.5,1,3,UNDERDOG,Brooklyn,1
2025-11-21,2025-11-21_Chicago_Miami,Chicago,Miami,Chicago,Miami,2.5,4,0,FAVORITE,Chicago,0
2025-11-21,2025-11-21_Cleveland_Indiana,Cleveland,Indiana,Cleveland,Indiana,13.5,1,2,UNDERDOG,Indiana,1
2025-11-21,2025-11-21_Dallas_NewOrleans,Dallas,New Orleans,Dallas,New Orleans,3.5,0,3,UNDERDOG,New Orleans,1
2025-11-21,2025-11-21_GoldenState_Portland,Portland,Golden State,Golden State,Portland,8.5,0,4,UNDERDOG,Portland,1
2025-11-21,2025-11-21_Houston_Denver,Houston,Denver,Houston,Denver,2.5,4,0,FAVORITE,Houston,0
2025-11-21,2025-11-21_Minnesota_Phoenix,Phoenix,Minnesota,Minnesota,Phoenix,4.5,2,1,FAVORITE,Minnesota,0
2025-11-21,2025-11-21_OklaCity_Utah,Utah,Okla City,Okla City,Utah,16.5,0,4,UNDERDOG,Utah,0
2025-11-22,2025-11-22_Atlanta_NewOrleans,New Orleans,Atlanta,Atlanta,New Orleans,8.5,0,4,UNDERDOG,New Orleans,0
2025-11-22,2025-11-22_Chicago_Washington,Chicago,Washington,Chicago,Washington,12.5,4,0,FAVORITE,Chicago,0
2025-11-22,2025-11-22_Dallas_Memphis,Dallas,Memphis,Dallas,Memphis,1.5,1,2,UNDERDOG,Memphis,1
2025-11-22,2025-11-22_Denver_Sacramento,Denver,Sacramento,Denver,Sacramento,10.5,2,1,FAVORITE,Denver,0
2025-11-22,2025-11-22_Detroit_Milwaukee,Milwaukee,Detroit,Detroit,Milwaukee,8.5,0,4,UNDERDOG,Milwaukee,0
2025-11-22,2025-11-22_LaClippers_Charlotte,Charlotte,La Clippers,La Clippers,Charlotte,1.5,0,4,UNDERDOG,Charlotte,0
2025-11-22,2025-11-22_Orlando_NewYork,Orlando,New York,Orlando,New York,1.5,1,2,UNDERDOG,New York,0
2025-11-23,2025-11-23_Atlanta_Charlotte,Atlanta,Charlotte,Atlanta,Charlotte,7.5,4,0,FAVORITE,Atlanta,0
2025-11-23,2025-11-23_Boston_Orlando,Boston,Orlando,Boston,Orlando,5.5,3,0,FAVORITE,Boston,1
2025-11-23,2025-11-23_Cleveland_LaClippers,Cleveland,La Clippers,Cleveland,La Clippers,8.5,3,1,FAVORITE,Cleveland,1
2025-11-23,2025-11-23_LaLakers_Utah,Utah,La Lakers,La Lakers,Utah,9.5,0,4,UNDERDOG,Utah,1
2025-11-23,2025-11-23_OklaCity_Portland,Portland,Okla City,Okla City,Portland,16.5,4,0,FAVORITE,Okla City,0
2025-11-23,2025-11-23_Philadelphia_Miami,Miami,Philadelphia,Philadelphia,Miami,1.5,0,4,UNDERDOG,Miami,0
2025-11-23,2025-11-23_Phoenix_SanAntonio,San Antonio,Phoenix,Phoenix,San Antonio,2.5,0,4,UNDERDOG,San Antonio,1
2025-11-23,2025-11-23_Toronto_Brooklyn,Toronto,Brooklyn,Toronto,Brooklyn,12.5,1,3,UNDERDOG,Brooklyn,1
2025-11-24,2025-11-24_Chicago_NewOrleans,New Orleans,Chicago,Chicago,New Orleans,5.5,0,4,UNDERDOG,New Orleans,1
