date,favorite,underdog,spread,model_name,model_type,probability,predicted_cover,actual_cover,correct,week,Date,Favorite,Underdog,Fav. Odds,Dog Odds,fav_implied_prob,dog_implied_prob,model_fav_prob,model_dog_prob,regressed_fav_prob,regressed_dog_prob,fav_predictive_edge,dog_predictive_edge,best_edge,best_side,regressed_prediction,regressed_correct
2025-10-22,Phoenix,Sacramento,4.5,logistic,Home Favorite,0.4818346592715066,0,0,True,43,2025-10-22,Phoenix,Sacramento,104,-108,0.49019607843137253,0.5192307692307693,0.4818346592715066,0.5181653407284934,0.48726958172541945,0.5188578692549727,-0.0029264967059530744,-0.0003728999757965923,-0.0003728999757965923,underdog,0,1
2025-10-22,Minnesota,Portland,4.5,logistic,Away Favorite,0.5,0,0,True,43,2025-10-22,Minnesota,Portland,-110,-110,0.5238095238095238,0.5238095238095238,0.5,0.5,0.5154761904761904,0.5154761904761904,-0.008333333333333415,-0.008333333333333415,-0.008333333333333415,underdog,1,0
2025-10-23,Okla City,Indiana,8.5,logistic,Away Favorite,0.4887849256583387,0,0,True,43,2025-10-23,Okla City,Indiana,-110,-110,0.5238095238095238,0.5238095238095238,0.4887849256583387,0.5112150743416612,0.511550914456609,0.5194014664957719,-0.012258609352914784,-0.004408057313751934,-0.004408057313751934,underdog,1,0
2025-10-23,Golden State,Denver,2.5,logistic,Home Favorite,0.5087316819378226,1,1,True,43,2025-10-23,Golden State,Denver,-110,-110,0.5238095238095238,0.5238095238095238,0.5087316819378226,0.4912683180621774,0.5185322791544283,0.5124201017979526,-0.005277244655095492,-0.011389422011571226,-0.005277244655095492,favorite,1,1
2025-10-24,Toronto,Milwaukee,1.5,logistic,Home Favorite,0.7593462242518005,1,0,False,43,2025-10-24,Toronto,Milwaukee,-107,102,0.5169082125603864,0.49504950495049505,0.7593462242518005,0.24065377574819946,0.6017615166523813,0.40601099972969157,0.08485330409199487,-0.08903850522080348,0.08485330409199487,favorite,1,0
2025-10-24,Orlando,Atlanta,4.5,logistic,Home Favorite,0.5350513539213926,1,0,False,43,2025-10-24,Orlando,Atlanta,-107,105,0.5169082125603864,0.4878048780487805,0.5350513539213926,0.4649486460786074,0.5232583120367387,0.4798051968592199,0.006350099476352233,-0.00799968118956057,0.006350099476352233,favorite,1,0
2025-10-24,Cleveland,Brooklyn,11.5,logistic,Away Favorite,0.4640510891565841,0,0,True,43,2025-10-24,Cleveland,Brooklyn,-106,-103,0.5145631067961165,0.5073891625615764,0.4640510891565841,0.5359489108434159,0.49688390062228016,0.5173850744602202,-0.017679206173836337,0.009995911898643794,0.009995911898643794,underdog,0,1
2025-10-24,New York,Boston,3.5,logistic,Home Favorite,0.5953873631716977,1,1,True,43,2025-10-24,New York,Boston,-110,-110,0.5238095238095238,0.5238095238095238,0.5953873631716977,0.4046126368283023,0.5488617675862847,0.48209061336609627,0.025052243776760852,-0.04171891044342757,0.025052243776760852,favorite,1,1
2025-10-24,Houston,Detroit,6.5,logistic,Home Favorite,0.6468446252096388,1,0,False,43,2025-10-24,Houston,Detroit,103,-106,0.49261083743842365,0.5145631067961165,0.6468446252096388,0.3531553747903612,0.5465926631583489,0.45807040059410215,0.053981825719925214,-0.05649270620201435,0.053981825719925214,favorite,1,0
2025-10-24,Memphis,Miami,2.5,logistic,Home Favorite,0.3928770154757445,0,0,True,43,2025-10-24,Memphis,Miami,-106,101,0.5145631067961165,0.4975124378109453,0.3928770154757445,0.6071229845242555,0.47197297483398626,0.5358761291606039,-0.04259013196213024,0.03836369134965861,0.03836369134965861,underdog,0,1
2025-10-24,San Antonio,New Orleans,4.5,logistic,Away Favorite,0.4458796110474727,0,0,True,43,2025-10-24,San Antonio,New Orleans,-110,-110,0.5238095238095238,0.5238095238095238,0.4458796110474727,0.5541203889525272,0.49653405434280595,0.534418326609575,-0.027275469466717883,0.010608802800051165,0.010608802800051165,underdog,0,1
2025-10-24,Dallas,Washington,9.5,logistic,Home Favorite,0.4192664308258161,0,0,True,43,2025-10-24,Dallas,Washington,-110,-110,0.5238095238095238,0.5238095238095238,0.4192664308258161,0.580733569174184,0.4872194412652261,0.5437329396871549,-0.03659008254429774,0.019923415877631023,0.019923415877631023,underdog,0,1
2025-10-24,Minnesota,La Lakers,2.5,logistic,Away Favorite,0.3586630311083553,0,0,True,43,2025-10-24,Minnesota,La Lakers,106,-112,0.4854368932038835,0.5283018867924528,0.3586630311083553,0.6413369688916447,0.44106604147044864,0.56786416552717,-0.04437085173343486,0.03956227873471718,0.03956227873471718,underdog,0,1
2025-10-24,Golden State,Portland,2.5,logistic,Away Favorite,0.3793449216053534,0,0,True,43,2025-10-24,Golden State,Portland,-110,-110,0.5238095238095238,0.5238095238095238,0.3793449216053534,0.6206550783946466,0.47324691303806415,0.5577054679143167,-0.05056261077145968,0.03389594410479291,0.03389594410479291,underdog,0,1
2025-10-24,Sacramento,Utah,5.5,logistic,Home Favorite,0.5153044305083079,1,0,False,43,2025-10-24,Sacramento,Utah,-110,-110,0.5238095238095238,0.5238095238095238,0.5153044305083079,0.4846955694916921,0.5208327411540983,0.5101196397982828,-0.0029767826554255583,-0.01368988401124105,-0.0029767826554255583,favorite,1,0
2025-10-24,La Clippers,Phoenix,9.5,logistic,Home Favorite,0.2082282358196417,0,1,False,43,2025-10-24,La Clippers,Phoenix,-108,103,0.5192307692307693,0.49261083743842365,0.2082282358196417,0.7917717641803583,0.41037988253687463,0.5973171617981008,-0.10885088669389464,0.10470632435967714,0.10470632435967714,underdog,0,0
2025-10-25,Orlando,Chicago,6.5,logistic,Home Favorite,0.3692390480249036,0,1,False,43,2025-10-25,Orlando,Chicago,112,-119,0.4716981132075472,0.54337899543379,0.3692390480249036,0.6307609519750964,0.43583744039362193,0.5739626802232473,-0.03586067281392524,0.030583684789457277,0.030583684789457277,underdog,0,0
2025-10-25,Okla City,Atlanta,6.5,logistic,Away Favorite,0.3563964340059576,0,1,False,43,2025-10-25,Okla City,Atlanta,101,-108,0.4975124378109453,0.5192307692307693,0.3563964340059576,0.6436035659940424,0.4481218364791996,0.5627612480979148,-0.049390601331745665,0.04353047886714556,0.04353047886714556,underdog,0,0
2025-10-25,Philadelphia,Charlotte,4.5,logistic,Home Favorite,0.3718769429086795,0,0,True,43,2025-10-25,Philadelphia,Charlotte,-106,102,0.5145631067961165,0.49504950495049505,0.3718769429086795,0.6281230570913205,0.4646229494355135,0.541625248199784,-0.04994015736060298,0.046575743249288926,0.046575743249288926,underdog,0,1
