date,favorite,underdog,spread,models_pick_fav,models_pick_dog,consensus_count,consensus_side,consensus_avg_edge,consensus_predicted_cover,consensus_correct,actual_cover
2025-11-08,Portland,Miami,3.5,0,4,4,UNDERDOG,0.19510599629380318,0,1,0.0
2025-11-08,San Antonio,New Orleans,10.5,4,0,4,FAVORITE,0.0665765514831779,1,0,0.0
2025-11-08,Denver,Indiana,12.5,4,0,4,FAVORITE,0.05127350793885855,1,1,1.0
2025-11-08,La Clippers,Phoenix,5.5,0,4,4,UNDERDOG,0.1640303433002965,0,0,1.0
2025-11-09,Houston,Milwaukee,4.5,4,0,4,FAVORITE,0.15311005209675846,1,1,1.0
2025-11-09,New York,Brooklyn,15.5,4,0,4,FAVORITE,0.21735701488159165,1,1,1.0
2025-11-09,Orlando,Boston,3.5,0,4,4,UNDERDOG,0.1367969491652665,0,1,0.0
2025-11-09,Okla City,Memphis,10.5,4,0,4,FAVORITE,0.12204862062136611,1,1,1.0
2025-11-09,Detroit,Philadelphia,4.5,1,3,3,UNDERDOG,0.022694912107240835,0,1,0.0
2025-11-09,Golden State,Indiana,12.5,0,4,4,UNDERDOG,0.2075398519751825,0,1,0.0
2025-11-09,Minnesota,Sacramento,5.5,3,1,3,FAVORITE,0.028419872981053366,1,1,1.0
2025-11-10,La Lakers,Charlotte,8.5,4,0,4,FAVORITE,0.10183017521946308,1,1,1.0
2025-11-10,Detroit,Washington,11.5,0,4,4,UNDERDOG,0.0643152525095317,0,1,0.0
2025-11-10,Orlando,Portland,2.5,4,0,4,FAVORITE,0.19600507485628707,1,1,1.0
2025-11-10,Cleveland,Miami,7.5,0,4,4,UNDERDOG,0.1329265541347934,0,1,0.0
2025-11-10,San Antonio,Chicago,4.5,1,3,3,UNDERDOG,0.1716513807283927,0,1,0.0
2025-11-10,Milwaukee,Dallas,2.5,0,4,4,UNDERDOG,0.3319072318989746,0,1,0.0
2025-11-10,Phoenix,New Orleans,9.5,2,2,2,UNDERDOG,0.04343729260338585,0,0,1.0
2025-11-10,Minnesota,Utah,7.5,2,2,2,UNDERDOG,-0.013501885507442298,0,1,0.0
2025-11-11,Toronto,Brooklyn,10.5,3,1,3,FAVORITE,0.3439770702817311,1,0,0.0
2025-11-11,New York,Memphis,9.5,3,1,3,FAVORITE,0.11788118075817654,1,1,1.0
2025-11-11,Philadelphia,Boston,1.5,4,0,4,FAVORITE,0.05912363755052773,1,1,1.0
2025-11-11,Okla City,Golden State,7.5,3,1,3,FAVORITE,0.0245093223153085,1,0,0.0
2025-11-11,Indiana,Utah,2.5,0,4,4,UNDERDOG,0.25352942753441576,0,1,0.0
2025-11-11,Denver,Sacramento,8.5,4,0,4,FAVORITE,0.15344112789696546,1,1,1.0
2025-11-12,Milwaukee,Charlotte,4.5,4,0,4,FAVORITE,0.13154496559105194,1,0,0.0
2025-11-12,Detroit,Chicago,1.5,4,0,4,FAVORITE,0.11752351899917342,1,0,0.0
2025-11-12,New York,Orlando,4.5,2,2,2,UNDERDOG,0.01557542382379655,0,1,0.0
2025-11-12,Boston,Memphis,6.5,1,3,3,UNDERDOG,0.09114868553684513,0,0,1.0
2025-11-12,Miami,Cleveland,5.5,3,1,3,FAVORITE,0.08877277304083503,1,0,0.0
2025-11-12,Houston,Washington,16.5,4,0,4,FAVORITE,0.18717057364042,1,1,1.0
2025-11-12,Portland,New Orleans,8.5,3,1,3,FAVORITE,0.0805168313818808,1,0,0.0
2025-11-12,San Antonio,Golden State,4.5,0,4,4,UNDERDOG,0.15179002682533807,0,0,1.0
2025-11-12,Dallas,Phoenix,1.5,0,4,4,UNDERDOG,0.16672777545348563,0,0,1.0
2025-11-12,Okla City,La Lakers,6.5,1,3,3,UNDERDOG,0.16330204373251447,0,1,0.0
2025-11-12,Atlanta,Sacramento,3.5,4,0,4,FAVORITE,0.21396131174237154,1,1,1.0
2025-11-12,Denver,La Clippers,3.5,1,3,3,UNDERDOG,0.0824862483130916,0,0,1.0
2025-11-14,New York,Miami,6.5,4,0,4,FAVORITE,0.22877086927185641,1,1,1.0
2025-11-14,Orlando,Brooklyn,13.5,2,2,2,UNDERDOG,0.04571694656627845,0,1,0.0
2025-11-14,Detroit,Philadelphia,4.5,2,2,2,UNDERDOG,0.028808914359580398,0,0,1.0
2025-11-14,Houston,Portland,7.5,4,0,4,FAVORITE,0.2984534345152803,1,1,1.0
2025-11-14,Milwaukee,Charlotte,9.5,0,4,4,UNDERDOG,0.06715135682194757,0,0,1.0
2025-11-14,Minnesota,Sacramento,11.5,2,2,2,UNDERDOG,0.0348248906258326,0,0,1.0
2025-11-14,La Lakers,New Orleans,9.5,0,4,4,UNDERDOG,0.13773769794216348,0,0,1.0
2025-11-14,La Clippers,Dallas,2.5,0,4,4,UNDERDOG,0.12879845433562684,0,0,1.0
2025-11-14,San Antonio,Golden State,2.5,1,3,3,UNDERDOG,0.2064699222659507,0,1,0.0
2025-11-15,Cleveland,Memphis,11.5,2,2,2,UNDERDOG,0.10761319111348085,0,1,0.0
2025-11-15,Okla City,Charlotte,15.5,2,2,2,UNDERDOG,0.06976910004747419,0,1,0.0
2025-11-15,Toronto,Indiana,6.5,3,1,3,FAVORITE,0.10388553314986819,1,1,1.0
2025-11-15,La Lakers,Milwaukee,1.5,2,2,2,UNDERDOG,0.22088922525487276,0,0,1.0
2025-11-15,Minnesota,Denver,2.5,1,3,3,UNDERDOG,0.23388680268125375,0,1,0.0
2025-11-16,San Antonio,Sacramento,8.5,3,1,3,FAVORITE,0.10260876719926887,1,0,0.0
2025-11-16,Washington,Brooklyn,2.5,4,0,4,FAVORITE,0.19872767685419945,1,0,0.0
2025-11-16,Houston,Orlando,7.5,4,0,4,FAVORITE,0.1755850527692806,1,0,0.0
2025-11-16,Golden State,New Orleans,10.5,3,1,3,FAVORITE,0.0217676419199494,1,1,1.0
2025-11-16,Portland,Dallas,4.5,1,3,3,UNDERDOG,0.06185312303494567,0,1,0.0
2025-11-16,Atlanta,Phoenix,1.5,0,4,4,UNDERDOG,0.2085087750162019,0,0,1.0
2025-11-16,Chicago,Utah,4.5,2,2,2,UNDERDOG,0.18318780428861967,0,1,0.0
2025-11-17,Cleveland,Milwaukee,7.5,4,0,4,FAVORITE,0.03240795323809545,1,1,1.0
2025-11-17,Detroit,Indiana,11.5,4,0,4,FAVORITE,0.031379429124432645,1,1,1.0
2025-11-17,Miami,New York,1.5,4,0,4,FAVORITE,0.21139388790559263,1,1,1.0
2025-11-17,Toronto,Charlotte,8.5,3,1,3,FAVORITE,0.031823177592060096,1,0,0.0
2025-11-17,Minnesota,Dallas,14.5,2,2,2,UNDERDOG,0.07394369011595771,0,0,1.0
2025-11-17,Okla City,New Orleans,17.5,3,1,3,FAVORITE,0.10936932420229023,1,0,0.0
2025-11-17,Denver,Chicago,14.5,3,1,3,FAVORITE,0.053869133997499964,1,0,0.0
2025-11-18,Golden State,Orlando,3.5,0,4,4,UNDERDOG,0.08018915205641992,0,1,0.0
2025-11-18,Boston,Brooklyn,10.5,4,0,4,FAVORITE,0.11478747276090223,1,1,1.0
2025-11-18,Detroit,Atlanta,1.5,0,4,4,UNDERDOG,0.13635097567845578,0,0,1.0
2025-11-18,San Antonio,Memphis,6.5,0,4,4,UNDERDOG,0.11644690411581628,0,1,0.0
2025-11-18,La Lakers,Utah,12.5,4,0,4,FAVORITE,0.1896589326272507,1,1,1.0
2025-11-18,Portland,Phoenix,2.5,4,0,4,FAVORITE,0.21753482166537713,1,0,0.0
