date,game_id,home_team,away_team,favorite_team,underdog_team,spread,model_name,pick_side,pick_team,pick_line,result
2025-11-14,2025-11-14_Orlando_Brooklyn,Orlando,Brooklyn,Orlando,Brooklyn,13.5,Random Forest,UNDERDOG,Brooklyn,13.5,WIN
2025-11-14,2025-11-14_Orlando_Brooklyn,Orlando,Brooklyn,Orlando,Brooklyn,13.5,Decision Tree,UNDERDOG,Brooklyn,13.5,WIN
2025-11-14,2025-11-14_Detroit_Philadelphia,Detroit,Philadelphia,Detroit,Philadelphia,4.5,Logistic,UNDERDOG,Philadelphia,4.5,LOSS
2025-11-14,2025-11-14_Detroit_Philadelphia,Detroit,Philadelphia,Detroit,Philadelphia,4.5,Linear,FAVORITE,Detroit,-4.5,WIN
2025-11-14,2025-11-14_Detroit_Philadelphia,Detroit,Philadelphia,Detroit,Philadelphia,4.5,Random Forest,FAVORITE,Detroit,-4.5,WIN
2025-11-14,2025-11-14_Detroit_Philadelphia,Detroit,Philadelphia,Detroit,Philadelphia,4.5,Decision Tree,UNDERDOG,Philadelphia,4.5,LOSS
2025-11-14,2025-11-14_Houston_Portland,Houston,Portland,Houston,Portland,7.5,Logistic,FAVORITE,Houston,-7.5,WIN
2025-11-14,2025-11-14_Houston_Portland,Houston,Portland,Houston,Portland,7.5,Linear,FAVORITE,Houston,-7.5,WIN
2025-11-14,2025-11-14_Houston_Portland,Houston,Portland,Houston,Portland,7.5,Random Forest,FAVORITE,Houston,-7.5,WIN
2025-11-14,2025-11-14_Houston_Portland,Houston,Portland,Houston,Portland,7.5,Decision Tree,FAVORITE,Houston,-7.5,WIN
2025-11-14,2025-11-14_Milwaukee_Charlotte,Milwaukee,Charlotte,Milwaukee,Charlotte,9.5,Logistic,UNDERDOG,Charlotte,9.5,LOSS
2025-11-14,2025-11-14_Milwaukee_Charlotte,Milwaukee,Charlotte,Milwaukee,Charlotte,9.5,Linear,UNDERDOG,Charlotte,9.5,LOSS
2025-11-14,2025-11-14_Milwaukee_Charlotte,Milwaukee,Charlotte,Milwaukee,Charlotte,9.5,Random Forest,UNDERDOG,Charlotte,9.5,LOSS
2025-11-14,2025-11-14_Milwaukee_Charlotte,Milwaukee,Charlotte,Milwaukee,Charlotte,9.5,Decision Tree,UNDERDOG,Charlotte,9.5,LOSS
2025-11-14,2025-11-14_Minnesota_Sacramento,Minnesota,Sacramento,Minnesota,Sacramento,11.5,Logistic,UNDERDOG,Sacramento,11.5,LOSS
2025-11-14,2025-11-14_Minnesota_Sacramento,Minnesota,Sacramento,Minnesota,Sacramento,11.5,Linear,UNDERDOG,Sacramento,11.5,LOSS
2025-11-14,2025-11-14_Minnesota_Sacramento,Minnesota,Sacramento,Minnesota,Sacramento,11.5,Random Forest,NO BET,,,NO BET
2025-11-14,2025-11-14_Minnesota_Sacramento,Minnesota,Sacramento,Minnesota,Sacramento,11.5,Decision Tree,FAVORITE,Minnesota,-11.5,WIN
2025-11-14,2025-11-14_LaLakers_NewOrleans,New Orleans,La Lakers,La Lakers,New Orleans,9.5,Logistic,UNDERDOG,New Orleans,9.5,LOSS
2025-11-14,2025-11-14_LaLakers_NewOrleans,New Orleans,La Lakers,La Lakers,New Orleans,9.5,Linear,UNDERDOG,New Orleans,9.5,LOSS
2025-11-14,2025-11-14_LaLakers_NewOrleans,New Orleans,La Lakers,La Lakers,New Orleans,9.5,Random Forest,UNDERDOG,New Orleans,9.5,LOSS
2025-11-14,2025-11-14_LaLakers_NewOrleans,New Orleans,La Lakers,La Lakers,New Orleans,9.5,Decision Tree,UNDERDOG,New Orleans,9.5,LOSS
2025-11-14,2025-11-14_LaClippers_Dallas,Dallas,La Clippers,La Clippers,Dallas,2.5,Logistic,UNDERDOG,Dallas,2.5,LOSS
2025-11-14,2025-11-14_LaClippers_Dallas,Dallas,La Clippers,La Clippers,Dallas,2.5,Linear,UNDERDOG,Dallas,2.5,LOSS
2025-11-14,2025-11-14_LaClippers_Dallas,Dallas,La Clippers,La Clippers,Dallas,2.5,Random Forest,UNDERDOG,Dallas,2.5,LOSS
2025-11-14,2025-11-14_LaClippers_Dallas,Dallas,La Clippers,La Clippers,Dallas,2.5,Decision Tree,UNDERDOG,Dallas,2.5,LOSS
2025-11-14,2025-11-14_SanAntonio_GoldenState,Golden State,San Antonio,San Antonio,Golden State,2.5,Logistic,UNDERDOG,Golden State,2.5,WIN
2025-11-14,2025-11-14_SanAntonio_GoldenState,Golden State,San Antonio,San Antonio,Golden State,2.5,Linear,UNDERDOG,Golden State,2.5,WIN
2025-11-14,2025-11-14_SanAntonio_GoldenState,Golden State,San Antonio,San Antonio,Golden State,2.5,Random Forest,UNDERDOG,Golden State,2.5,WIN
2025-11-14,2025-11-14_SanAntonio_GoldenState,Golden State,San Antonio,San Antonio,Golden State,2.5,Decision Tree,UNDERDOG,Golden State,2.5,WIN
2025-11-15,2025-11-15_Cleveland_Memphis,Cleveland,Memphis,Cleveland,Memphis,11.5,Logistic,FAVORITE,Cleveland,-11.5,LOSS
2025-11-15,2025-11-15_Cleveland_Memphis,Cleveland,Memphis,Cleveland,Memphis,11.5,Linear,FAVORITE,Cleveland,-11.5,LOSS
2025-11-15,2025-11-15_Cleveland_Memphis,Cleveland,Memphis,Cleveland,Memphis,11.5,Random Forest,UNDERDOG,Memphis,11.5,WIN
2025-11-15,2025-11-15_Cleveland_Memphis,Cleveland,Memphis,Cleveland,Memphis,11.5,Decision Tree,UNDERDOG,Memphis,11.5,WIN
2025-11-15,2025-11-15_OklaCity_Charlotte,Charlotte,Okla City,Okla City,Charlotte,15.5,Logistic,UNDERDOG,Charlotte,15.5,WIN
2025-11-15,2025-11-15_OklaCity_Charlotte,Charlotte,Okla City,Okla City,Charlotte,15.5,Linear,UNDERDOG,Charlotte,15.5,WIN
2025-11-15,2025-11-15_OklaCity_Charlotte,Charlotte,Okla City,Okla City,Charlotte,15.5,Random Forest,UNDERDOG,Charlotte,15.5,WIN
2025-11-15,2025-11-15_OklaCity_Charlotte,Charlotte,Okla City,Okla City,Charlotte,15.5,Decision Tree,FAVORITE,Okla City,-15.5,LOSS
2025-11-15,2025-11-15_Toronto_Indiana,Indiana,Toronto,Toronto,Indiana,6.5,Logistic,FAVORITE,Toronto,-6.5,WIN
2025-11-15,2025-11-15_Toronto_Indiana,Indiana,Toronto,Toronto,Indiana,6.5,Linear,FAVORITE,Toronto,-6.5,WIN
2025-11-15,2025-11-15_Toronto_Indiana,Indiana,Toronto,Toronto,Indiana,6.5,Random Forest,FAVORITE,Toronto,-6.5,WIN
2025-11-15,2025-11-15_Toronto_Indiana,Indiana,Toronto,Toronto,Indiana,6.5,Decision Tree,UNDERDOG,Indiana,6.5,LOSS
2025-11-15,2025-11-15_LaLakers_Milwaukee,Milwaukee,La Lakers,La Lakers,Milwaukee,1.5,Logistic,FAVORITE,La Lakers,-1.5,WIN
2025-11-15,2025-11-15_LaLakers_Milwaukee,Milwaukee,La Lakers,La Lakers,Milwaukee,1.5,Linear,FAVORITE,La Lakers,-1.5,WIN
2025-11-15,2025-11-15_LaLakers_Milwaukee,Milwaukee,La Lakers,La Lakers,Milwaukee,1.5,Random Forest,UNDERDOG,Milwaukee,1.5,LOSS
2025-11-15,2025-11-15_LaLakers_Milwaukee,Milwaukee,La Lakers,La Lakers,Milwaukee,1.5,Decision Tree,UNDERDOG,Milwaukee,1.5,LOSS
2025-11-15,2025-11-15_Minnesota_Denver,Minnesota,Denver,Minnesota,Denver,2.5,Logistic,UNDERDOG,Denver,2.5,WIN
2025-11-15,2025-11-15_Minnesota_Denver,Minnesota,Denver,Minnesota,Denver,2.5,Linear,UNDERDOG,Denver,2.5,WIN
2025-11-15,2025-11-15_Minnesota_Denver,Minnesota,Denver,Minnesota,Denver,2.5,Random Forest,NO BET,,,NO BET
2025-11-15,2025-11-15_Minnesota_Denver,Minnesota,Denver,Minnesota,Denver,2.5,Decision Tree,UNDERDOG,Denver,2.5,WIN
2025-11-16,2025-11-16_Boston_LaClippers,Boston,La Clippers,Boston,La Clippers,6.5,Logistic,FAVORITE,Boston,-6.5,LOSS
2025-11-16,2025-11-16_Boston_LaClippers,Boston,La Clippers,Boston,La Clippers,6.5,Linear,FAVORITE,Boston,-6.5,LOSS
2025-11-16,2025-11-16_Boston_LaClippers,Boston,La Clippers,Boston,La Clippers,6.5,Random Forest,UNDERDOG,La Clippers,6.5,WIN
2025-11-16,2025-11-16_Boston_LaClippers,Boston,La Clippers,Boston,La Clippers,6.5,Decision Tree,UNDERDOG,La Clippers,6.5,WIN
2025-11-16,2025-11-16_SanAntonio_Sacramento,Sacramento,San Antonio,San Antonio,Sacramento,8.5,Logistic,FAVORITE,San Antonio,-8.5,LOSS
2025-11-16,2025-11-16_SanAntonio_Sacramento,Sacramento,San Antonio,San Antonio,Sacramento,8.5,Linear,FAVORITE,San Antonio,-8.5,LOSS
2025-11-16,2025-11-16_SanAntonio_Sacramento,Sacramento,San Antonio,San Antonio,Sacramento,8.5,Random Forest,FAVORITE,San Antonio,-8.5,LOSS
2025-11-16,2025-11-16_SanAntonio_Sacramento,Sacramento,San Antonio,San Antonio,Sacramento,8.5,Decision Tree,UNDERDOG,Sacramento,8.5,WIN
